geography,geoid,tractce,state,percent_food_insecure,number_food_insecure,total_population,unemployment_rate,percent_poor,percent_black,percent_hispanic,median_income,percent_homeowners,percent_disabled,missing_values,small_sample_100,small_sample_500,high_military,low_own_high_income,high_disab,high_college,name,total_pop,nonlatine,nlwhite,nlblack,nlasian,latine,lwhite,lblack,lasian,tpop_nat,nat_nat,nat_noncit,medhhinc,medrent,total_pctincrent,pctincrent35_to_399,pctincrent40_to_499,pctincrent50_ormore,total_ipop,hh_inet,total_hh_poverty,hh_under_05_poverty,hh_05_to_099_poverty,hh_1_to_124_poverty,hh_125_to_149_poverty,hh_15_to_184_poverty,total_hh,pct_nlblack,pct_nlwhite,pct_nlasian,pct_latine,pct_lblack,pct_lwhite,pct_lasian,pct_185pov,pct_incrent35,pct_inetaccess,comcolorifelsepct_nlwhite0410,pct_nonnat,pct_noncit,_merge
"Census Tract 1001, Arlington County, Virginia",51013100100,100100,VA,0.015,80,"5,296",0.015,0.011,0.008,0.11,"203,854",0.94800001,0.052999999,0,0,0,0,0,0,0,"Census Tract 1001, Arlington County, Virginia",5296,4713,4132,26,430,583,479,9,0,5296,493,82,203854,2400,90,6,0,25,1738,1660,5296,50,12,0,194,25,1756,0.004909366,0.78021148,0.081193353,0.110083082,0.001699396,0.090445619,0,0.050793051,0.344444444,0.955120829,0,0.108572508,0.015483384,matched (3)
"Census Tract 1002, Arlington County, Virginia",51013100200,100200,VA,0.015,100,"6,600",0.011,0.017999999,0.01,0.07,"233,958",0.93400002,0.048999999,0,0,0,0,0,0,0,"Census Tract 1002, Arlington County, Virginia",6600,6141,5574,69,295,459,418,0,0,6600,409,70,233958,3000,150,0,0,0,2261,2173,6600,91,23,85,1,18,2261,0.010454545,0.844545455,0.04469697,0.069545455,0,0.063333333,0,0.029545455,0,0.961079169,0,0.072575758,0.010606061,matched (3)
"Census Tract 1003, Arlington County, Virginia",51013100300,100300,VA,0.029999999,190,"6,255",0.039000001,0.015,0.025,0.074000001,"231,908",0.96200001,0.074000001,0,0,0,0,0,0,0,"Census Tract 1003, Arlington County, Virginia",6255,5794,5258,132,355,461,379,0,0,6255,338,273,231908,3501,79,19,16,0,2085,1996,5766,26,61,12,0,13,2131,0.021103118,0.840607514,0.056754596,0.073701039,0,0.060591527,0,0.008844953,0.443037975,0.957314149,0,0.097681855,0.043645084,matched (3)
"Census Tract 1004, Arlington County, Virginia",51013100400,100400,VA,0.023,90,"3,918",0.022,0.028999999,0.028000001,0.072999999,"250,001",0.93599999,0.059,0,0,0,0,0,0,0,"Census Tract 1004, Arlington County, Virginia",3918,3632,3194,100,280,286,227,0,0,3918,341,251,250001,3501,87,0,0,11,1354,1314,3908,62,61,23,0,21,1375,0.025523226,0.815211843,0.071465033,0.072996427,0,0.057937723,0,0.027123849,0.126436782,0.970457903,0,0.151097499,0.064063298,matched (3)
"Census Tract 1005, Arlington County, Virginia",51013100500,100500,VA,0.024,110,"4,522",0.023,0.02,0.037999999,0.041000001,"242,344",0.85500002,0.032000002,0,0,0,0,0,0,0,"Census Tract 1005, Arlington County, Virginia",4522,4338,3844,107,178,184,71,0,0,4522,296,178,242344,2850,241,5,59,9,1657,1619,4522,88,12,32,33,21,1723,0.023662096,0.850066342,0.039363114,0.04068996,0,0.015701017,0,0.038478549,0.302904564,0.977066989,0,0.104820876,0.039363114,matched (3)
"Census Tract 1006, Arlington County, Virginia",51013100600,100600,VA,0.07,240,"3,467",0.015,0.050999999,0.039000001,0.14399999,"140,982",0.63999999,0.122,0,0,0,0,0,0,0,"Census Tract 1006, Arlington County, Virginia",3467,2968,2435,135,182,499,356,0,0,3467,481,167,140982,1968,462,28,9,67,1284,1162,3253,77,101,117,0,31,1357,0.038938564,0.702336314,0.052494952,0.143928468,0,0.102682434,0,0.069166923,0.225108225,0.904984424,0,0.186905105,0.048168445,matched (3)
"Census Tract 1007, Arlington County, Virginia",51013100700,100700,VA,0.079999998,460,"5,831",0.015,0.097000003,0.017000001,0.13600001,"147,695",0.60500002,0.074000001,0,0,0,0,0,0,0,"Census Tract 1007, Arlington County, Virginia",5831,5036,4214,101,617,795,399,0,0,5831,551,750,147695,1855,944,23,37,265,2387,2198,5810,241,391,128,175,192,2434,0.017321214,0.722689076,0.105813754,0.13634025,0,0.068427371,0,0.126678141,0.344279661,0.920821114,0,0.223117819,0.128622878,matched (3)
"Census Tract 1008, Arlington County, Virginia",51013100800,100800,VA,0.044,70,"1,617",0.015,0.061999999,0.345,0.109,"111,406",0.68000001,0.07,0,0,0,0,0,0,0,"Census Tract 1008, Arlington County, Virginia",1617,1441,669,544,153,176,145,14,0,1617,147,153,111406,1718,178,0,16,54,556,502,1617,58,36,144,56,47,580,0.336425479,0.413729128,0.094619666,0.108843537,0.008658009,0.089672233,0,0.188620903,0.393258427,0.902877698,0,0.185528757,0.094619666,matched (3)
"Census Tract 1009, Arlington County, Virginia",51013100900,100900,VA,0.052000001,220,"4,195",0.028000001,0.035999998,0.064999998,0.071999997,"156,875",0.74000001,0.064000003,0,0,0,0,0,0,0,"Census Tract 1009, Arlington County, Virginia",4195,3892,3194,243,312,303,177,17,0,4195,290,133,156875,1183,429,0,21,85,1647,1563,4195,77,84,32,17,20,1658,0.057926103,0.761382598,0.074374255,0.072228844,0.004052443,0.042193087,0,0.034803337,0.247086247,0.948998179,0,0.100834327,0.03170441,matched (3)
"Census Tract 1010, Arlington County, Virginia",51013101000,101000,VA,0.044,140,"3,308",0.028000001,0.012,0.072999999,0.093999997,"162,083",0.68099999,0.046999998,0,0,0,0,0,0,0,"Census Tract 1010, Arlington County, Virginia",3308,2997,2552,207,99,311,227,0,0,3308,374,200,162083,1638,406,53,0,117,1271,1189,3308,11,36,124,11,49,1313,0.062575574,0.77146312,0.029927449,0.09401451,0,0.068621524,0,0.058948005,0.418719212,0.935483871,0,0.173518742,0.060459492,matched (3)
