organization,cosponsor,type,location_name,address,zip,frequency,day,times,year_round_or_dates,name,email,phone,website,registration_contact,description,eligibility_requirements,eligibility_requirement,nophotoidrequired,noregistrationrequired,restrictedaccessonlymembers,age_restrictions_for_children_or,age_restrictions_for_seniors_onl,incomemaximumforeligibility,deliveryavailable,preparedmeals,groceryitems,fresh_produce,accepts_snap,languagesspokenotherthanengl,otherservicesprovideddiaper,otherservicesprovidedbabyf,otherservicesprovidedfinanc,otherservicesprovidedclothi,otherservicesprovided,metro,bus,location_type,state,city
"AFAC","","Food pantry","AFAC Headquarters","2708 S. Nelson St","22206","Open Mon-Sat. Participants can visit once per week.","","Mon - Fri 9:30 AM - 1 PM, Thurs 6-7PM, Sat 9-11 AM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","DHS: 703-228-1300","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from. Deliveries available to elderly, disabled and quarantining clients that have been referred through DHS or Aging & Disability Services.","Open to all Arlington residents. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from DHS, APS social worker, or other social service agency to visit weekly.","x","","","","","","","x","","x","x","","Spanish","","","","","","","ART 72, 75, 77; Metrobus 7, 22A,  23A ","Charitable food-site","Virginia",""
"AFAC","","Food pantry","Clarendon United Methodist Church","606 N. Irving St","22201","Weekly","Saturday","8:30 - 10:30 AM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","DHS: 703-228-1300","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from. ","Open to all Arlington residents. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from DHS, APS social worker, or other social service agency to visit weekly.","x","","","","","","","","","x","x","","Spanish","","","","","","Clarendon, Virginia Square","ART 41, 42, 77; Metrobus 4B, 38B","Charitable food-site","Virginia",""
"AFAC","","Food pantry","Claridge House Senior Apartments","1500 S Fern St","22202","Weekly","Monday","10:30 AM - 12 PM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","DHS: 703-228-1700","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from. ","Open to residents of Claridge House Senior Apartments. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from Aging & Disability Services (DHS) to visit weekly.","x","","","x","","x","","","","x","x","","","","","","","","PentagonCity, Crystal City","ART 43, 87; Metrobus 10A, 23A","Charitable food-site","Virginia",""
"AFAC","","Food pantry","Hunters Park Senior Apartments (AHC)","2021 N. Nelson St","22207","Weekly","Tuesday","11 AM - 12 PM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","Tatiana Campos, AHC: 703-486-0626 x1578","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from. ","Open to residents of Hunter's Park Senior Apartments. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from AHC Resident Services Coordinator to visit weekly.","x","","","x","","x","","","","x","x","","Spanish","","","","","","","ART 55 ","Charitable food-site","Virginia",""
"AFAC","","Food pantry","Woodland Hill Senior Apartments","610 S. Carlin Springs Rd.","22204","Weekly","Tuesday","12:30 - 2:30 PM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","Chelle Slaughter, Woodland Hill: 703-931-0052","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from. ","Open to residents of Woodland Hill Senior Apartments. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from Woodland Hill Resident Services Coordinator to visit weekly.","x","","","x","","x","","","","x","x","","Vietnamese","","","","","","","ART 45, 75; Metrobus 4B 16G, 25B","Charitable food-site","Virginia",""
"AFAC","","Food pantry","The Carlin Senior Apartments","4300 N Carlin Springs Rd","22203","Weekly","Thursday","11 AM - 12 PM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","Olivia Ferrante: 703-243-4300","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from. ","Open to residents of The Carlin Senior Apartments. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from The Carlin Resident Services Coordinator to visit weekly.","x","","","x","","x","","","","x","x","","","","","","","","Ballston","ART 41, 42, 51, 52, 72, 75; Metrobus 1A, 2A, 4B, 10B, 22A, 25B, 38B ","Charitable food-site","Virginia",""
"AFAC","","Food pantry","Culpepper Gardens Senior Apartments","4435 N Pershing Dr","22203","Every other week","Friday","12:30 - 2 PM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","Rebekah Pearson, Culpepper Gardens: 703-276-2315 703-528-0162 ext. 111","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from. ","Open to residents of Culpepper Gardens Senior Apartments. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from Culpepper Gardens Resident Services Coordinator to visit weekly.","x","","","x","","x","","","","x","x","","","","","","","","","ART 41,72; Metrobus 4B, 10B, 22A, 23A","Charitable food-site","Virginia",""
"AFAC","","Food pantry","Arlington Mill Community Center (COP)","909 S Dinwiddie St","22204","Weekly","Monday","9:30 - 11:30 AM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","Zineb Mourchid, DHS Community Outreach Program: Zmourchid@arlingtonva.us","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.  Diapers provided at this location, on Wednesdays 8-11:30 AM, but not through AFAC. Contact the Community Outreach Program (registration contact) for more information.","Open to all residents of the Arlington Mill and Barcroft neighborhoods. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from DHS Community Outreach Program to visit this location weekly.","x","","","","","","","","","x","x","","Spanish, Arabic","x","","","","","","ART 41, 45, 75; Metrobus 16A/C/E/G/H, 22A","Charitable food-site","Virginia",""
"AFAC","","Food pantry","Columbia Hills & Columbia Grove Apartments (APAH)","1010 S. Frederick St.","22204","Weekly","Tuesday","1:30 - 3:30 PM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","APAH resident services: 571-800-6450 or residentservices@apah.org","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from. ","Open to APAH residents who live at Columbia Hills or Columbia Grove properties. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from APAH to visit this location weekly.","x","","","x","","","","x","","x","x","","Spanish","","","","","","","ART 41, 45, 75; Metrobus 16A/C/E/G/H, 22A, 25B, 28A ","Charitable food-site","Virginia",""
"AFAC","","Food pantry","The APEX Apartments (AHC)","2910 S. Glebe Rd","22206","Weekly","Wednesday","9 - 11 AM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","AHC: Alba Silva alba.silva@ahcinc.org 571-232-4806 or Jasmine Rose: 571-217-8751","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from. ","Open to AHC residents who live at The Apex. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from AHC to visit this location weekly.","x","","","x","","","","","","x","x","","Spanish","","","","","","","ART 87; Metrobus 10A/B, 23A","Charitable food-site","Virginia",""
