objectid,location_name,location_address,address_line__2,city,state,zip_code,county,regionsize,matchscore,latitude,longitude,matchtype,location_type,accepts_snap,organization,cosponsor,type,zip,frequency,day,times,year_round_or_dates,description,eligibility_requirements,eligibility_requirement,nophotoidrequired,noregistrationrequired,restrictedaccessonlymembers,age_restrictions_for_children_or,age_restrictions_for_seniors_onl,incomemaximumforeligibility,deliveryavailable,preparedmeals,groceryitems,fresh_produce,languagesspokenotherthanengl,otherservicesprovideddiaper,otherservicesprovidedbabyf,otherservicesprovidedfinanc,otherservicesprovidedclothi,otherservicesprovided,metro,bus,store_type,frequency_visit,year_round,weekends,open_afterhrs,restrictions,access
4931,Lideta Market,1607 S Glebe Rd,,Arlington,VA,22204,ARLINGTON,498.6814,95.325447,38.890587,-77.119003,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,,,Unknown times,,,
6699,Asni Inc,1045 S Edgewood St,,Arlington,VA,22204,ARLINGTON,2855.9011,100,38.862259,-77.086182,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,,,Unknown times,,,
7070,Ft Myers Commissary 2518,523 Carpenter Rd,,Fort Myer,VA,22211,ARLINGTON,4533965.5,60,38.886948,-77.078209,Relaxed;Soundex,SNAP-retailer,1,,,Misc,,,,,,,,,,,,,,,,,,0,,,,,,,,,Misc,,,Unknown times,,,
9530,Arlington Mill Farmers Market,909 S Dinwiddie St,,Arlington,VA,22204,ARLINGTON,2260.2388,100,38.85667,-77.11264,Exact,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,,,Unknown times,,,
10983,Target Store 3210,1500 Wilson Blvd,,Rosslyn,VA,22209,ARLINGTON,4595.1108,96,38.894348,-77.074356,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,,,Unknown times,,,
11778,Bangla Bazar,5149 Lee Hwy,,Arlington,VA,22207,ARLINGTON,3334.8015,100,38.896427,-77.13224,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,,,Unknown times,,,
14024,Giant Food 748,2901-11 S Glebe Rd,,Arlington,VA,22206,ARLINGTON,14538.319,96.633133,38.845398,-77.068916,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,,,Unknown times,,,
14025,Giant Food 771,3115 Lee Hwy,,Arlington,VA,22201,ARLINGTON,16184.268,100,38.896622,-77.096313,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,,,Unknown times,,,
14027,Safeway  764,2500 N Harrison St,,Arlington,VA,22207,ARLINGTON,9272.666,100,38.896851,-77.13942,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,,,Unknown times,,,
14028,Safeway  1358,5101 Wilson Blvd,,Arlington,VA,22205,ARLINGTON,9480.2383,100,38.878052,-77.123154,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,,,Unknown times,,,
