geography,MFI,FI,Total
"Census Tract 1001, Arlington County, Virginia",3.6%,1.5%,5.1%
"Census Tract 1002, Arlington County, Virginia",3.1%,1.5%,4.6%
"Census Tract 1003, Arlington County, Virginia",5.3%,3.0%,8.3%
"Census Tract 1004, Arlington County, Virginia",4.3%,2.3%,6.6%
"Census Tract 1005, Arlington County, Virginia",4.1%,2.4%,6.5%
"Census Tract 1006, Arlington County, Virginia",10.9%,7.0%,17.9%
"Census Tract 1007, Arlington County, Virginia",12.2%,8.0%,20.2%
"Census Tract 1008, Arlington County, Virginia",11.0%,4.4%,15.4%
"Census Tract 1009, Arlington County, Virginia",8.7%,5.2%,13.9%
"Census Tract 1010, Arlington County, Virginia",7.4%,4.4%,11.8%
"Census Tract 1011, Arlington County, Virginia",7.6%,5.1%,12.7%
"Census Tract 1012, Arlington County, Virginia",10.2%,5.8%,16.0%
"Census Tract 1013, Arlington County, Virginia",5.2%,2.5%,7.7%
"Census Tract 1014.01, Arlington County, Virginia",11.5%,8.1%,19.6%
"Census Tract 1014.02, Arlington County, Virginia",10.7%,7.1%,17.8%
"Census Tract 1014.03, Arlington County, Virginia",13.0%,9.8%,22.8%
"Census Tract 1014.04, Arlington County, Virginia",13.8%,10.2%,24.0%
"Census Tract 1015, Arlington County, Virginia",12.1%,8.4%,20.5%
"Census Tract 1016.01, Arlington County, Virginia",12.6%,8.9%,21.5%
"Census Tract 1016.02, Arlington County, Virginia",12.1%,8.1%,20.2%
"Census Tract 1016.03, Arlington County, Virginia",14.3%,10.0%,24.3%
"Census Tract 1017.01, Arlington County, Virginia",13.5%,9.5%,23.0%
"Census Tract 1017.02, Arlington County, Virginia",14.8%,10.5%,25.3%
"Census Tract 1017.03, Arlington County, Virginia",15.9%,10.6%,26.5%
"Census Tract 1018.01, Arlington County, Virginia",9.0%,6.9%,15.9%
"Census Tract 1018.02, Arlington County, Virginia",16.5%,11.6%,28.1%
"Census Tract 1018.03, Arlington County, Virginia",14.1%,9.9%,24.0%
"Census Tract 1019, Arlington County, Virginia",8.5%,5.8%,14.3%
"Census Tract 1020.01, Arlington County, Virginia",15.8%,9.9%,25.7%
"Census Tract 1020.02, Arlington County, Virginia",13.3%,9.2%,22.5%
"Census Tract 1020.03, Arlington County, Virginia",22.8%,14.5%,37.3%
"Census Tract 1021, Arlington County, Virginia",21.1%,14.6%,35.7%
"Census Tract 1022, Arlington County, Virginia",24.4%,13.3%,37.7%
"Census Tract 1023.01, Arlington County, Virginia",7.7%,4.0%,11.7%
"Census Tract 1023.02, Arlington County, Virginia",12.8%,7.1%,19.9%
"Census Tract 1024, Arlington County, Virginia",11.2%,6.6%,17.8%
"Census Tract 1025, Arlington County, Virginia",13.8%,8.8%,22.6%
"Census Tract 1026, Arlington County, Virginia",13.9%,7.8%,21.7%
"Census Tract 1027.01, Arlington County, Virginia",19.9%,11.4%,31.3%
"Census Tract 1027.02, Arlington County, Virginia",9.9%,4.8%,14.7%
"Census Tract 1028.01, Arlington County, Virginia",11.8%,5.9%,17.7%
"Census Tract 1028.02, Arlington County, Virginia",8.6%,4.5%,13.1%
"Census Tract 1029.01, Arlington County, Virginia",7.4%,4.1%,11.5%
"Census Tract 1029.02, Arlington County, Virginia",11.3%,7.3%,18.6%
"Census Tract 1030, Arlington County, Virginia",5.1%,2.9%,8.0%
"Census Tract 1031, Arlington County, Virginia",19.3%,9.8%,29.1%
"Census Tract 1032, Arlington County, Virginia",12.5%,8.0%,20.5%
"Census Tract 1033, Arlington County, Virginia",20.2%,11.6%,31.8%
"Census Tract 1034.01, Arlington County, Virginia",11.0%,8.1%,19.1%
"Census Tract 1034.02, Arlington County, Virginia",15.1%,10.5%,25.6%
"Census Tract 1035.01, Arlington County, Virginia",14.1%,9.6%,23.7%
"Census Tract 1035.02, Arlington County, Virginia",20.8%,14.3%,35.1%
"Census Tract 1035.03, Arlington County, Virginia",18.5%,13.4%,31.9%
"Census Tract 1036.01, Arlington County, Virginia",8.4%,5.6%,14.0%
"Census Tract 1036.02, Arlington County, Virginia",20.5%,14.2%,34.7%
"Census Tract 1037, Arlington County, Virginia",5.9%,3.0%,8.9%
"Census Tract 1038, Arlington County, Virginia",16.9%,10.3%,27.2%
"Census Tract 9801, Arlington County, Virginia",0.0%,0.0%,0.0%
"Census Tract 9802, Arlington County, Virginia",0.0%,0.0%,0.0%
