GEOID,SNAPReceipt,tot_125pov(ACS2019),Coverage
51013100100,,50,
51013100200,13,176,0.073863636
51013100300,,38,
51013100400,,85,
51013100500,10,120,0.083333333
51013100600,54,194,0.278350515
51013100700,82,369,0.222222222
51013100800,62,202,0.306930693
51013100900,129,109,1.183486239
51013101000,72,135,0.533333333
51013101100,26,187,0.139037433
51013101200,118,224,0.526785714
51013101300,37,92,0.402173913
51013101401,64,65,0.984615385
51013101402,,188,
51013101403,,208,
51013101404,20,228,0.087719298
51013101500,150,364,0.412087912
51013101601,,84,
51013101602,112,83,1.34939759
51013101603,66,311,0.21221865
51013101701,85,389,0.218508997
51013101702,139,379,0.366754617
51013101703,88,207,0.425120773
51013101801,,112,
51013101802,241,606,0.397689769
51013101803,69,315,0.219047619
51013101900,12,102,0.117647059
51013102001,190,189,1.005291005
51013102002,73,243,0.300411523
51013102003,529,769,0.687906372
51013102100,218,100,2.18
51013102200,920,1141,0.806310254
51013102301,23,14,1.642857143
51013102302,284,230,1.234782609
51013102400,158,206,0.766990291
51013102500,178,188,0.946808511
51013102600,109,188,0.579787234
51013102701,271,572,0.473776224
51013102702,71,170,0.417647059
51013102801,555,611,0.908346972
51013102802,,8,
51013102901,,147,
51013102902,214,26,8.230769231
51013103000,14,73,0.191780822
51013103100,371,365,1.016438356
51013103200,144,272,0.529411765
51013103300,121,235,0.514893617
51013103401,,0,
51013103402,15,300,0.05
51013103501,24,237,0.101265823
51013103502,217,587,0.36967632
51013103503,46,316,0.14556962
51013103601,14,95,0.147368421
51013103602,,126,
51013103700,,64,
51013103800,265,441,0.600907029
51013980100,,0,
51013980200,,0,
