GEOID,snapreceipt
51013100100,
51013100200,
51013100300,
51013100400,
51013100500,10
51013100600,54
51013100700,82
51013100800,62
51013100900,129
51013101000,72
51013101100,26
51013101200,118
51013101300,37
51013101401,64
51013101402,
51013101405,
51013101406,20
51013101407,
51013101408,
51013101409,
51013101501,106
51013101502,44
51013101503,
51013101601,
51013101602,112
51013101603,66
51013101701,85
51013101703,88
51013101704,25
51013101705,114
51013101801,
51013101803,69
51013101804,230
51013101805,11
51013101900,12
51013102001,190
51013102002,73
51013102003,529
51013102100,218
51013102200,920
51013102301,23
51013102302,284
51013102400,158
51013102500,178
51013102600,109
51013102701,271
51013102702,71
51013102802,
51013102803,104
51013102804,451
51013102901,
51013102903,
51013102904,214
51013103000,14
51013103100,371
51013103200,144
51013103300,121
51013103403,
51013103404,
51013103405,15
51013103501,24
51013103503,46
51013103504,14
51013103505,203
51013103601,14
51013103602,
51013103700,
51013103800,265
